"","primeiraCartaRobo","primeiraCartaHumano","segundaCartaRobo","segundaCartaHumano","terceiraCartaRobo","terceiraCartaHumano","results.cluster"
"331",6,24,16,1,16,50,4
"332",16,6,-50,0,-50,0,3
"333",40,24,6,7,-10,42,4
"334",24,0,-50,0,-50,0,3
"335",-50,0,-50,0,-50,0,3
"336",24,42,-15,0,-15,0,1
"337",7,24,-10,16,-10,0,1
"338",-10,0,-10,0,-10,0,1
"339",2,24,16,12,52,24,4
"340",24,1,4,0,-50,0,2
"341",24,12,2,4,-15,0,1
"342",24,2,12,50,24,7,4
"343",1,24,-10,16,-10,0,1
"344",24,24,7,0,-15,0,1
"345",3,40,6,3,16,16,4
"346",16,42,-50,2,-50,0,3
"347",3,12,7,1,-50,0,2
"348",24,2,8,12,52,16,4
"349",7,6,3,8,-15,0,1
"350",24,2,4,7,40,16,4
"351",7,3,7,0,-50,0,2
"352",3,6,-10,2,-10,0,1
"353",7,24,24,8,8,6,4
"354",24,24,8,0,-15,0,1
"355",3,2,6,0,-50,0,2
"356",12,1,1,2,-15,0,1
"357",40,7,12,0,-50,0,2
"358",2,24,7,4,7,16,4
"359",24,2,12,16,52,6,4
"360",24,16,-50,0,-50,0,3
"361",24,8,7,8,50,24,4
"362",-50,0,-50,0,-50,0,3
"363",1,2,3,2,2,16,1
"364",1,40,7,6,3,52,4
"365",42,6,8,24,3,7,4
"366",-50,0,-50,0,-50,0,3
"367",4,1,16,3,-50,0,2
"368",3,6,16,3,1,0,1
"369",8,6,2,40,1,7,4
"370",3,50,3,16,-15,0,1
"371",3,2,50,4,-50,0,2
"372",1,2,12,8,3,4,4
"373",6,2,8,24,-50,6,2
"374",6,8,24,2,1,50,4
"375",12,8,42,16,-50,0,2
"376",2,4,52,6,3,16,4
"377",7,3,12,52,24,24,4
"378",40,7,52,8,-50,0,2
"379",3,1,16,12,-50,0,2
"380",7,12,7,1,8,2,4
"381",3,1,1,2,3,1,1
"382",7,24,-50,16,-50,0,3
"383",7,24,6,3,40,1,4
"384",-15,0,-15,0,-15,0,1
"385",6,8,42,16,2,3,4
"386",-10,24,-10,0,-10,0,1
"387",24,24,50,6,-50,0,2
"388",2,50,8,7,24,3,4
"389",-10,0,-10,0,-10,0,1
"390",-50,6,-50,0,-50,0,3
"391",24,42,8,7,16,1,4
"392",50,24,16,40,8,3,4
"393",3,2,-50,0,-50,0,3
"394",-10,0,-10,0,-10,0,1
"395",16,4,8,0,-50,0,2
"396",12,7,52,0,-50,0,2
"397",24,40,42,16,1,6,4
"398",40,24,42,52,6,6,4
"399",-50,0,-50,0,-50,0,3
"400",8,6,-50,0,-50,0,3
"401",-50,0,-50,0,-50,0,3
"402",-50,2,-50,0,-50,0,3
"403",-50,24,-50,0,-50,0,3
"404",7,2,6,3,-50,0,2
"405",52,24,8,12,2,4,4
"406",-50,0,-50,0,-50,0,3
"407",-15,0,-15,0,-15,0,1
"408",50,4,6,24,3,6,4
"409",-10,16,-10,0,-10,0,1
"410",16,0,-50,0,-50,0,3
"411",7,42,-10,52,-10,0,1
"412",12,16,16,7,24,0,4
"413",1,7,-15,0,-15,0,1
"414",6,7,-15,0,-15,0,1
"415",4,8,-15,0,-15,0,1
"416",7,8,-15,0,-15,0,1
"417",2,16,-15,0,-15,0,1
"418",8,16,-10,52,-10,0,1
"419",8,7,16,0,-50,0,2
"420",4,7,-15,0,-15,0,1
"421",16,8,52,0,-50,0,2
"422",8,1,16,0,-50,0,2
"423",2,1,16,24,24,12,4
"424",2,3,-15,0,-15,0,1
"425",8,6,24,0,-50,0,2
"426",42,12,3,16,-15,0,1
"427",16,16,2,52,-15,0,1
"428",2,3,-15,0,-15,0,1
"429",7,16,7,6,12,3,4
"430",3,4,52,16,6,7,4
"431",6,1,24,50,2,8,4
"432",1,2,7,8,-15,0,1
"433",-10,6,-10,0,-10,0,1
"434",8,16,50,24,1,3,4
"435",8,0,-50,0,-50,0,3
"436",-50,0,-50,0,-50,0,3
"437",3,1,2,24,24,2,4
"438",-15,0,-15,0,-15,0,1
"439",3,7,-10,8,-10,0,1
"440",-15,0,-15,0,-15,0,1
"441",3,6,-10,40,-10,0,1
"442",6,6,50,8,-50,0,2
"443",1,3,-50,24,-50,0,3
"444",2,1,52,8,-50,0,2
"445",6,12,24,52,-15,0,4
"446",16,3,1,16,1,24,4
"447",3,12,24,12,7,1,4
"448",24,4,16,0,-50,0,2
"449",16,3,40,0,-50,0,2
